Metric,Value
CV Accuracy,0.6634920634920636
CV Std,0.11419749681653935
Val Accuracy,0.6029411764705882
Val F1,0.6197857722092018
Val AUC,0.813420500372941
Test Accuracy,0.6911764705882353
Test F1,0.7028249955818535
Test AUC,0.8977621167004761
